wl,n
0.3500,2.3126243043642
0.3619,2.312597847142
0.3743,2.3125693354706
0.3870,2.312539136409
0.4002,2.3125066782741
0.4139,2.3124718368591
0.4280,2.3124347506653
0.4426,2.3123950368398
0.4577,2.3123525578091
0.4733,2.3123071712091
0.4894,2.3122587298741
0.5061,2.3122067654536
0.5233,2.3121514159874
0.5412,2.312091842131
0.5596,2.3120285071925
0.5787,2.3119605130632
0.5984,2.3118879810727
0.6188,2.3118102999404
0.6399,2.3117271988523
0.6618,2.311637983158
0.6843,2.3115431771167
0.7076,2.3114416373715
0.7318,2.3113325506502
0.7567,2.3112164503817
0.7825,2.3110920226188
0.8092,2.3109588236565
0.8368,2.3108163935227
0.8653,2.3106642558615
0.8948,2.3105013562799
0.9253,2.3103271273525
0.9569,2.3101403801088
0.9895,2.3099410653644
1.023,2.3097291946022
1.058,2.3095001893208
1.094,2.3092564752176
1.131,2.3089973481487
1.170,2.3087147128999
1.210,2.3084146820176
1.251,2.308096463358
1.294,2.3077510735118
1.338,2.30738527824
1.384,2.3069894414997
1.431,2.3065707996983
1.480,2.306119018828
1.530,2.3056418439951
1.582,2.3051281963789
1.636,2.3045759668132
1.692,2.3039829500906
1.750,2.3033468425446
1.809,2.3026767963555
1.871,2.301947604245
1.935,2.3011678072522
2.001,2.3003346789817
2.069,2.2994453785773
2.139,2.2984969465752
2.212,2.2974720118197
2.288,2.296365802538
2.366,2.295188654054
2.446,2.2939369731743
2.530,2.2925739814885
2.616,2.2911263779938
2.705,2.2895721950484
2.797,2.2879050723696
2.893,2.2860991437265
2.991,2.2841849378509
3.093,2.2821158737342
3.199,2.2798816742795
3.308,2.2774937302421
3.421,2.2749198354016
3.537,2.2721718575276
3.658,2.2691893503943
3.783,2.2659815364549
3.911,2.2625607285935
4.045,2.258829096897
4.183,2.2548216655152
4.325,2.2505198432453
4.473,2.2458390324997
4.625,2.2408165706989
4.783,2.2353581401114
4.946,2.229465262753
5.115,2.2230656213205
5.289,2.2161575276634
5.469,2.2086577519817
5.656,2.2004703381523
5.849,2.1915788620039
6.048,2.1819198784244
6.254,2.171369998194
6.467,2.1598408864666
6.688,2.1471737108645
6.916,2.1333068014719
7.152,2.1180429966903
7.395,2.1012903760818
7.648,2.0826460206034
7.908,2.0621025175866
8.178,2.03915207092
8.457,2.0135381584795
8.745,1.9848602024406
9.043,1.9525172809535
9.352,1.9157502779069
9.670,1.8739987443184
10.000,1.8258224699944
